projectName,city,fullAddress,type,bhk,carpetArea,price,price_cr,price_formatted,status,possession_status,pincode,landmark,balcony,bathrooms,reraId
Antriksh,Pune,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",2BHK,2,900.0,18900000,1.89,₹1.89 Cr,UNDER_CONSTRUCTION,Under Construction,411011,Station Road Saraswat Colony,1.0,2,"[""P52100019454"",""P52100047488""]"
Antriksh,Pune,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",3BHK,3,1095.0,22900000,2.29,₹2.29 Cr,UNDER_CONSTRUCTION,Under Construction,411011,Station Road Saraswat Colony,2.0,3,"[""P52100019454"",""P52100047488""]"
16 Lakaki,Pune,"1102/A/48, Lakaki Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",4.5BHK,5,2650.0,55800000,5.58,₹5.58 Cr,UNDER_CONSTRUCTION,Under Construction,411016,Model Colony,2.0,4,"[""P52100078263""]"
Dinmanee ,Pune,"Dinmanee, Squadron Leader Sureshchandra Bhagwat Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",3BHK,3,1065.0,25400000,2.54,₹2.54 Cr,UNDER_CONSTRUCTION,Under Construction,411016,Bharat English School & jr. College,2.0,3,"[""[\""P52100079399\""]""]"
Zoa Building - 2 Wing A,Pune,"Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",1BHK,1,450.0,7499000,0.7499,₹75 L,UNDER_CONSTRUCTION,Under Construction,411036,Renuka mata mandir,1.0,1,"[""[\""P52100056199\""]""]"
Zoa Building - 2 Wing A,Pune,"Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",2BHK,2,850.0,14100000,1.41,₹1.41 Cr,UNDER_CONSTRUCTION,Under Construction,411036,Renuka mata mandir,2.0,2,"[""[\""P52100056199\""]""]"
Leela by Empyrean Landmarks - Phase 1 & 2,Pune,"Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",2BHK,2,774.0,13600000,1.36,₹1.36 Cr,UNDER_CONSTRUCTION,Under Construction,411014,Shri Kshetra Kalbhairavnath Temple,1.0,2,"[""[\""P52100078302\"",\""P52100052570\""]""]"
Leela by Empyrean Landmarks - Phase 1 & 2,Pune,"Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",3BHK,3,1044.0,13900000,1.39,₹1.39 Cr,UNDER_CONSTRUCTION,Under Construction,411014,Shri Kshetra Kalbhairavnath Temple,2.0,3,"[""[\""P52100078302\"",\""P52100052570\""]""]"
Midori Towers,Pune,"Sai Nagar, Mamurdi, Dehu Road, Maharashtra 412101",2BHK,2,912.0,66800000,6.68,₹6.68 Cr,UNDER_CONSTRUCTION,Under Construction,412101,Sai nagar Rd,1.0,2,"[""[\""P52100047310\""]""]"
Kedar Residency,Pune,"MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101",1BHK,1,497.0,30400000,3.04,₹3.04 Cr,READY_TO_MOVE,Ready to Move,412101, Maharashtra Cricket Association Stadium,1.0,1,"[""[\""P52100032109\""]""]"
Kedar Residency,Pune,"MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Maharashtra 412101",2BHK,2,805.0,49000000,4.9,₹4.90 Cr,READY_TO_MOVE,Ready to Move,412101, Maharashtra Cricket Association Stadium,0.0,0,"[""[\""P52100032109\""]""]"
Sonai Clara,Pune,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",2BHK,2,719.0,7916000,0.7916,₹79 L,UNDER_CONSTRUCTION,Under Construction,412099,Chandraprabha corner,1.0,2,"[""[\""P52100080205\""]""]"
Sonai Clara,Pune,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",2BHK,2,714.0,7624000,0.7624,₹76 L,UNDER_CONSTRUCTION,Under Construction,412099,Chandraprabha corner,1.0,8,"[""[\""P52100080205\""]""]"
Sonai Clara,Pune,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",3BHK,3,954.0,9900000,0.99,₹99 L,UNDER_CONSTRUCTION,Under Construction,412099,Chandraprabha corner,2.0,3,"[""[\""P52100080205\""]""]"
Sonai Clara,Pune,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Maharashtra 412101",3BHK,3,973.0,11000000,1.1,₹1.10 Cr,UNDER_CONSTRUCTION,Under Construction,412099,Chandraprabha corner,2.0,3,"[""[\""P52100080205\""]""]"
Santiago Skytown,Pune,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",2BHK,2,767.0,784300000,78.43,₹78.43 Cr,UNDER_CONSTRUCTION,Under Construction,412101,Police Station,1.0,2,"[""[\""P52100077942\""]""]"
Santiago Skytown,Pune,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",2BHK,2,786.0,8037000,0.8037,₹80 L,UNDER_CONSTRUCTION,Under Construction,412101,Police Station,1.0,2,"[""[\""P52100077942\""]""]"
Santiago Skytown,Pune,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Maharashtra 412101",3BHK,3,1017.0,13900000,1.39,₹1.39 Cr,UNDER_CONSTRUCTION,Under Construction,412101,Police Station,2.0,3,"[""[\""P52100077942\""]""]"
The silver altair ,Pune,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",2BHK,2,880.0,8409000,0.8409,₹84 L,UNDER_CONSTRUCTION,Under Construction,412101,MNGL CNG Station,4.0,1,"[""[\""P52100035075\""]""]"
The silver altair ,Pune,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",2BHK,2,921.0,8885000,0.8885,₹89 L,UNDER_CONSTRUCTION,Under Construction,412101,MNGL CNG Station,1.0,2,"[""[\""P52100035075\""]""]"
The silver altair ,Pune,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet",3BHK,3,1048.0,11000000,1.1,₹1.10 Cr,UNDER_CONSTRUCTION,Under Construction,412101,MNGL CNG Station,2.0,3,"[""[\""P52100035075\""]""]"
testing,Other,asdfgh,5BHK,5,9.79,10088000,1.0088,₹1.01 Cr,READY_TO_MOVE,Ready to Move,123456,sdfgb,8.0,8,"[""123456789""]"
testing,Other,asdfgh,2BHK,2,9.0,980000000,98.0,₹98.00 Cr,READY_TO_MOVE,Ready to Move,123456,sdfgb,987.0,99,"[""123456789""]"
testing,Other,asdfgh,2BHK,2,3.0,120000000,12.0,₹12.00 Cr,READY_TO_MOVE,Ready to Move,123456,sdfgb,2.0,10,"[""123456789""]"
TESTING,Other,ADDRESS,4BHK,4,12.0,20000000,2.0,₹2.00 Cr,READY_TO_MOVE,Ready to Move,123456,LANDMARK,2.0,1,"[""123124"",""345678""]"
TESTING,Other,ADDRESS,4.5BHK,5,122.0,10000000,1.0,₹1.00 Cr,READY_TO_MOVE,Ready to Move,123456,LANDMARK,2.0,1,"[""123124"",""345678""]"
testing igi,Other,awsedrftgyhujk,House_Villa,1,8.0,80000000,8.0,₹8.00 Cr,READY_TO_MOVE,Ready to Move,123456,sedrftgyhuj,4.0,5,"[""[\""12345678\"",\""2345678\""]""]"
testing igi,Other,awsedrftgyhujk,3BHK,3,69.0,960000000,96.0,₹96.00 Cr,READY_TO_MOVE,Ready to Move,123456,sedrftgyhuj,88.0,99,"[""[\""12345678\"",\""2345678\""]""]"
some project testing,Other,address,4BHK,4,2.0,30000000,3.0,₹3.00 Cr,UNDER_CONSTRUCTION,Under Construction,828123,landmark,12.0,10,"[""[\""2345678\"",\""5678\""]""]"
QUEENS PARK,Mumbai,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",1BHK,1,413.23,10900000,1.09,₹1.09 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Jain mandir ,1.0,1,"[""[\""P51800047377\""]""]"
QUEENS PARK,Mumbai,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",2BHK,2,705.14,18700000,1.87,₹1.87 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Jain mandir ,2.0,2,"[""[\""P51800047377\""]""]"
QUEENS PARK,Mumbai,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",2BHK,2,646.91,17200000,1.72,₹1.72 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Jain mandir ,2.0,2,"[""[\""P51800047377\""]""]"
QUEENS PARK,Mumbai,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",3BHK,3,901.26,23900000,2.39,₹2.39 Cr,UNDER_CONSTRUCTION,Under Construction,400071,Jain mandir ,3.0,3,"[""[\""P51800047377\""]""]"
testring999,Other,sdfghj,3BHK,3,7.0,80000000,8.0,₹8.00 Cr,UNDER_CONSTRUCTION,Under Construction,123456,esrdfghbj,9.0,9,"[""[\""asdfghjkl\""]""]"
Queens Glory,Mumbai,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",1RK ,1,331.85,7944000,0.7944,₹79 L,UNDER_CONSTRUCTION,Under Construction,400076,Shri siddhivinayak ganesh temple,1.0,1,"[""[\""P51800076971\""]""]"
Queens Avenue,Mumbai,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",1BHK,1,396.97,10700000,1.07,₹1.07 Cr,UNDER_CONSTRUCTION,Under Construction,400076,Shri siddhivinayak ganesh temple,1.0,1,"[""[\""P51800054458\""]""]"
Queens Avenue,Mumbai,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",2BHK,2,568.98,15300000,1.53,₹1.53 Cr,UNDER_CONSTRUCTION,Under Construction,400076,Shri siddhivinayak ganesh temple,4.0,2,"[""[\""P51800054458\""]""]"
Queens Avenue,Mumbai,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",2BHK,2,619.89,16700000,1.67,₹1.67 Cr,UNDER_CONSTRUCTION,Under Construction,400076,Shri siddhivinayak ganesh temple,2.0,2,"[""[\""P51800054458\""]""]"
